"name" "x" "y"
"5" "ירושלים        " 35.22503 31.778048
"8" "ירושלים        " 35.22503 31.778048
"10" "יהודי כפרי צפון" 35.423523 32.701689
"11" "ירושלים        " 35.22503 31.778048
"18" "רעננה          " 34.870963 32.180721
"22" "ירושלים        " 35.22503 31.778048
"29" "תל אביב        " 34.780855 32.08414
"31" "קיבוצים מרכז   " 34.912106 32.245361
"34" "ירושלים        " 35.22503 31.778048
"37" "רמת גן         " 34.814124 32.082264
"39" "יהודי כפרי צפון" 35.423523 32.701689
"41" "קיבוצים מרכז   " 34.912106 32.245361
"43" "ירוחם          " 34.925435 30.988587
"45" "מושב באזור ים  " 35.138604 31.747171
"46" "ישוב עירוני י-ם" 35.147694 31.796781
"50" "ירושלים        " 35.22503 31.778048
"54" "ירושלים        " 35.22503 31.778048
"57" "פתח תקוה       " 34.885672 32.082321
"58" "יהודי כפרי צפון" 35.423523 32.701689
"59" "ירושלים        " 35.22503 31.778048
"70" "ירושלים        " 35.22503 31.778048
"73" "ראשון לציון    " 34.804046 31.964097
"74" "תל אביב        " 34.780855 32.08414
"76" "רמת גן         " 34.814124 32.082264
"77" "קרית אונו      " 34.858882 32.054731
"80" "ירושלים        " 35.22503 31.778048
"81" "נתניה          " 34.856615 32.328572
"85" "קיבוצים - חיפה " 35.141231 32.678067
"90" "יהודי כפרי צפון" 35.423523 32.701689
"91" "רעננה          " 34.870963 32.180721
"95" "ישוב כפרי דרום " 34.542387 31.237925
"99" "יהודי כפרי ים  " 35.069167 31.761572
"102" "מושבים מרכז    " 34.927852 32.14133
"108" "בת ים          " 34.741372 32.016188
"110" "חיפה           " 34.998893 32.81221
"112" "ירושלים        " 35.22503 31.778048
"114" "תל אביב        " 34.780855 32.08414
"115" "ירושלים        " 35.22503 31.778048
"119" "ישוב עירוני י-ם" 35.147694 31.796781
"124" "ירושלים        " 35.22503 31.778048
"125" "ישוב עירוני מרכ" 34.858034 32.143758
"129" "ירושלים        " 35.22503 31.778048
"130" "ירושלים המזרחית" 35.240078 31.785545
"143" "ירושלים        " 35.22503 31.778048
"146" "ירושלים        " 35.22503 31.778048
"147" "רעננה          " 34.870963 32.180721
"156" "ירושלים        " 35.22503 31.778048
"157" "ירושלים        " 35.22503 31.778048
"159" "ירושלים        " 35.22503 31.778048
"170" "גבעת שמואל     " 34.848039 32.076953
"172" "קרית טבעון     " 35.126978 32.716636
"173" "חצור הגלילית   " 35.545175 32.980529
"178" "מודיעין        " 35.010207 31.891034
"182" "יהודה יו\"ש     " 35.202801 32.137876
"183" "מעלה אדומים    " 35.298932 31.778916
"184" "יקנעם          " 35.114706 32.655431
"189" "ישוב עירוני י-ם" 35.147694 31.796781
"194" "חיפה           " 34.998893 32.81221
"195" "נצרת           " 35.295624 32.700535
"197" "קיבוצים בצפון  " 35.343336 32.891082
"203" "עפולה          " 35.290205 32.609465
"204" "נס ציונה       " 34.801026 31.928917
"205" "מושבים מרכז    " 34.927852 32.14133
