,a.data.Name,coords.x1,coords.x2
1,Abana,36.224661,33.545097
2,Abarim,35.746148,31.761357
3,Abdon,35.146201,33.047808
4,Abel,35.578046,33.268526
5,Abel-beth-maacah,35.578046,33.268526
6,Abel-keramim~,35.82352,32.02425
7,Abel-maim,35.578046,33.268526
8,Abel-meholah,35.536929,32.35601
9,Abel-shittim,35.641566,31.858262
10,Abiezer,35.288264,32.608682
12,Abronah~,35.030601,29.758043
13,Accad,44.129248,33.092016
14,Acco,35.081555,32.927583
16,Achshaph,35.173826,32.95182
17,Achzib,35,31.7
18,Achzib,35.102202,33.048467
19,Adadah~,34.96745,31.1858
20,Adam,35.56469,32.09772
21,Adamah?,35.4382,32.7253
22,Adami-nekeb,35.54289,32.6105
23,Addar~,34.7187,30.9522
24,Adithaim~,34.89532,31.7001
25,Admah,35.41253,31.119422
26,Adoraim,34.983333,31.516666
29,Adullam,35,31.65
30,Adummim,35.361646,31.817585
32,Ahava,42.786647,33.625197
33,Ahlab,35.445446,33.02498
34,Ai,35.261226,31.916978
35,Aiath,35.261226,31.916978
36,Aija,35.261226,31.916978
37,Aijalon,35.025379,31.841173
38,Ain,34.860665,31.370835
39,Ain,36.385705,34.353071
40,Ai~,35.809018,31.80052
42,Akrabbim,35.263182,30.688292
43,Alemeth,35.287637,31.828406
45,Allammelech~,35.182915,32.97829
46,Allon-bacuth~,35.221032,31.930539
47,Almon,35.287637,31.828406
48,Almon-diblathaim,35.782841,31.496845
49,Alush~,33.40046,28.770015
50,Amad,35.173644,33.019337
51,Amalek>,34.835554,30.65977
52,Amam~,35.057114,31.162327
53,Amana,36.055039,33.68137
54,Amaw~,38.068879,36.654616
55,Ammah~,35.343177,31.869005
56,Ammon,35.924131,31.950188
58,Anab,34.944185,31.403888
59,Anaharath,35.397389,32.607039
60,Ananiah?,35.219683,31.83291
61,Anathoth,35.263498,31.812912
62,Anem,35.303683,32.463499
63,Aner,35.216325,32.517239
64,Angle<,35.234935,31.777444
65,Anim,35.074552,31.373521
69,Aphek,34.931979,32.104712
70,Aphek,35.698749,32.778268
71,Aphek,35.865801,34.066067
72,Aphekah,34.931979,32.104712
73,Aphik,35.865801,34.066067
75,Ar,35.593958,31.449809
76,Arabah,35.520995,32.029676
77,Arabia>,37.7,27.4
78,Arab~,35.045648,31.450746
79,Arad,35.126365,31.280981
80,Aram-maacah~,36.5,33.2
81,Aram-naharaim~,42,35.1
82,Aram-zobah~,36.313449,33.519299
83,Aram~,39.12,34.85
84,Ararat,44.29818,39.702892
86,Argob~,36.136,33.144
87,Ariel,35.234935,31.777444
90,Arnon,35.677009,31.4288
91,Aroer,34.984852,31.148931
92,Aroer,35.822003,31.471095
93,Aroer~,35.9115,31.9617
94,Arpad~,36.749488,35.136204
95,Arubboth~,34.976398,31.681234
96,Arumah,35.318192,32.154887
97,Arvad,35.858485,34.856082
98,Ashan~,34.9365,31.8099
99,Ashdod,34.635114,31.802999
100,Ashdod's,34.635114,31.802999
101,Ashkelon,34.547227,31.662405
102,Ashkenaz~,44.6,40.6
103,Ashnah~,34.9365,31.8099
