setid,name,x,y
1,ירושלים        ,35.22503,31.778048
2,בית שמש        ,34.9865,31.749906
3,מושב באזור ים  ,35.138604,31.747171
4,קיבוץ - ירושלים,35.127474,31.783036
5,ישוב עירוני י-ם,35.147694,31.796781
6,ישוב ערבי י-ם  ,35.253396,31.764804
7,טבריה          ,35.539117,32.792095
8,נהריה          ,35.095572,33.008894
9,נצרת           ,35.295624,32.700535
10,עכו            ,35.071334,32.925019
11,צפת            ,35.495932,32.970735
12,שפרעם          ,35.170809,32.805161
13,בית שאן        ,35.503975,32.498225
14,חצור הגלילית   ,35.545175,32.980529
15,טמרה           ,35.207113,32.851152
16,מגדל העמק      ,35.239093,32.67802
17,נצרת עילית     ,35.316963,32.708633
18,"יהודה יו""ש     ",35.202801,32.137876
19,סחנין          ,35.294872,32.864948
20,קרית שמונה     ,35.569218,33.208953
21,מושבים בצפון   ,35.393488,33.038813
22,קיבוצים בצפון  ,35.343336,32.891082
23,יהודי עירוני צפ,35.471439,32.87383
25,חדרה           ,34.913625,32.435123
26,חיפה           ,34.998893,32.81221
27,זכרון יעקב     ,34.951516,32.574072
28,קרית טבעון     ,35.126978,32.716636
29,קרית ים        ,35.067982,32.847951
30,קרית מוצקין    ,35.07978,32.838472
31,אום אל פחם     ,35.148305,32.517126
32,בקה אל גרבייה  ,35.039043,32.41781
33,טירת הכרמל     ,34.972302,32.760674
34,קרית אתא       ,35.119802,32.809432
35,נשר            ,35.044882,32.770799
36,פרדס חנה       ,34.975445,32.470015
37,קרית ביאליק    ,35.086391,32.831946
38,מושבים חיפה    ,35.076596,32.775839
39,קיבוצים - חיפה ,35.141231,32.678067
40,ישוב עירוני חיפ,35.113671,32.837856
41,ישוב ערבי -חיפה,35.185969,32.823044
42,כפר סבא        ,34.908101,32.172697
43,לוד            ,34.896132,31.948121
44,נתניה          ,34.856615,32.328572
45,פתח תקוה       ,34.885672,32.082321
46,ראשון לציון    ,34.804046,31.964097
47,רחובות         ,34.80856,31.898279
48,רמלה           ,34.868695,31.930917
49,גדרה           ,34.777226,31.816111
50,הוד השרון      ,34.897556,32.155538
51,טייבה          ,35.005433,32.269378
52,טירה           ,34.954584,32.234119
53,יהוד           ,34.888095,32.031092
54,יבנה           ,34.745256,31.873717
55,נס ציונה       ,34.801026,31.928917
56,ראש העין       ,34.944364,32.097027
57,רעננה          ,34.870963,32.180721
58,מושבים מרכז    ,34.927852,32.14133
59,קיבוצים מרכז   ,34.912106,32.245361
60,ישוב עירוני מרכ,34.858034,32.143758
61,ישוב ערבי מרכז ,34.969102,32.124504
62,בני ברק        ,34.836348,32.086839
63,בת ים          ,34.741372,32.016188
64,גבעתיים        ,34.807827,32.068717
65,הרצליה         ,34.844245,32.15898
66,חולון          ,34.768886,32.017187
67,רמת גן         ,34.814124,32.082264
68,תל אביב        ,34.780855,32.08414
69,אור יהודה      ,34.846103,32.030054
70,קרית אונו      ,34.858882,32.054731
71,רמת השרון      ,34.84354,32.143673
72,מושב - תל אביב ,34.832273,32.023631
73,"קיבוצים - ת""א  ",34.834141,32.218889
74,יהודי עירוני תא,34.836868,31.959136
75,"ישוב ערבי - ת""א",34.995021,32.022403
76,אילת           ,34.951129,29.555283
77,אשקלון         ,34.563866,31.665514
78,באר שבע        ,34.799743,31.249812
79,אשדוד          ,34.641074,31.801152
80,אופקים         ,34.620877,31.314963
81,דימונה         ,35.032084,31.065439
82,קרית גת        ,34.766359,31.606971
83,קרית מלאכי     ,34.740356,31.723211
84,שדרות          ,34.583779,31.524924
85,מושבים בדרום   ,34.659469,31.452944
86,קיבוצים בדרום  ,31.761572,31.24007
87,ישוב עירוני דרו,34.605792,31.34954
88,ישוב ערבי דרום ,34.852848,31.309542
89,אור עקיבא      ,34.917647,32.508173
90,"חו""ל           ",34.569085,32.103669
91,דליית אל כרמל  ,35.054591,32.691627
92,מג'אר          ,35.405619,32.88893
93,יהודי כפרי ים  ,35.069167,31.761572
94,יהודי כפרי צפון,35.423523,32.701689
95,יהודי כפרי חיפה,35.039857,32.602837
97,"ישוב כפרי - ת""א",34.75156,31.883905
98,ישוב כפרי דרום ,34.542387,31.237925
99,ירושלים המזרחית,35.240078,31.785545
a1,אלעד           ,34.948735,32.04924
a2,באקה ג'ת       ,35.038548,32.397982
a3,ביתר עלית      ,35.110488,31.69835
a4,כרמיאל         ,35.303332,32.920542
a5,מודיעין        ,35.010207,31.891034
a6,מודיעין עלית   ,35.04295,31.931714
a7,מעלה אדומים    ,35.298932,31.778916
a8,מעלות תרשיחא   ,35.272556,33.015459
a9,נתיבות         ,34.59495,31.425773
b1,עפולה          ,35.290205,32.609465
b2,ערבה           ,35.336221,32.853736
b3,ערד            ,35.212317,31.255861
b4,רהט            ,34.75813,31.392174
b5,בנימינה        ,34.953944,32.518909
b6,יקנעם          ,35.114706,32.655431
b7,ירוחם          ,34.925435,30.988587
b8,שוהם           ,34.942531,31.996923
b9,סאגור          ,35.343028,32.943197
c1,גבעת שמואל     ,34.848039,32.076953
c2,כפר כנא        ,35.339419,32.747384
c3,כפר קאסם       ,34.977162,32.114224
c4,קלנסווה        ,34.983105,32.285573
c5,יפיע           ,35.275351,32.687022
c6,קדימה-צורן     ,34.91802,32.276892
c7,גן יבנה        ,34.708732,31.787005
c8,ריינה          ,35.315915,32.723061
c9,ערערה          ,35.09751,32.493125
d1,כפר מנדה       ,35.257665,32.813259
d2,כפר יונה       ,34.936298,32.318847
d3,כפר קרע        ,35.053865,32.505705
d4,תל שבע         ,34.859591,31.247281
d5,ירכא           ,35.212463,32.953943
d6,אבו סנאן       ,35.172891,32.957546
d7,בית ג'אן       ,35.380913,32.965115
d8,ישובים דרוזים  ,35.753931,33.14638
